year,id,PAR
2005,31167,4.495070768
2005,31169,0.967962237
2005,31171,5.541660234
2005,31173,2.675602869
2005,31175,1.687009883
2005,31177,2.151877682
2005,31179,4.474552239
2005,31181,0.368439556
2005,31183,5.204636295
2005,31185,3.255199295
